-3757	352	-800	75
-7513	352	-1600	75
-11270	352	-2400	75
-15026	352	-3200	75
-18783	352	-4000	75
-22539	352	-4800	75
-26296	352	-5600	75
-30052	352	-6400	75
-33809	352	-7200	75
-37565	352	-8000	75
-41322	352	-8800	75
-41322	0	-9040	23
-40361	90	-10570	143
-39202	109	-12539	185
-37808	131	-14578	191
-36139	156	-16447	175
-34159	186	-17972	143
-31854	216	-18987	95
-29244	245	-19337	33
-26391	267	-18932	38
-23387	282	-17812	105
-20335	286	-16183	153
-17318	283	-14358	171
-14382	275	-12652	160
-11525	268	-11251	131
-8720	263	-10154	103
-5939	261	-9197	90
-3186	258	-8183	95
-501	252	-7013	110
2049	239	-5778	116
4405	221	-4733	98
6549	201	-4172	53
8518	185	-4274	10
10381	175	-5011	69
12195	170	-6178	109
13936	163	-7552	129
15460	143	-9097	145
16500	98	-11095	187
16719	21	-14125	284
15794	87	-18863	444
13519	213	-25770	648
9875	342	-34811	848
5048	453	-45337	987
-612	531	-56192	1018
-6675	568	-66019	921
-12724	567	-73638	714
-18433	535	-78345	441
-23600	484	-80018	157
-28137	425	-79005	95
-32036	366	-75872	294
-35321	308	-71145	443
-38018	253	-65157	561
-40146	200	-58070	664
-41726	148	-50021	755
-42791	100	-41299	818
-43397	57	-32437	831
-43620	21	-24169	775
-43543	7	-17251	649
-43238	29	-12249	469
-42754	45	-9374	270
-42115	60	-8455	86
-41322	74	-9040	55
-40361	90	-10570	143
-39202	109	-12539	185
-37808	131	-14578	191
-36139	156	-16447	175
-34159	186	-17972	143
-31854	216	-18987	95
-29244	245	-19337	33
-26391	267	-18932	38
-23387	282	-17812	105
-20335	286	-16183	153
-17318	283	-14358	171
-14382	275	-12652	160
-11525	268	-11251	131
-8720	263	-10154	103
-5939	261	-9197	90
-3186	258	-8183	95
-501	252	-7013	110
2049	239	-5778	116
4405	221	-4733	98
6549	201	-4172	53
8518	185	-4274	10
10381	175	-5011	69
12195	170	-6178	109
13936	163	-7552	129
15460	143	-9097	145
16500	98	-11095	187
16719	21	-14125	284
15794	87	-18863	444
13519	213	-25770	648
9875	342	-34811	848
5048	453	-45337	987
-612	531	-56192	1018
-6675	568	-66019	921
-12724	567	-73638	714
-18433	535	-78345	441
-23600	484	-80018	157
-28137	425	-79005	95
-32036	366	-75872	294
-35321	308	-71145	443
-38018	253	-65157	561
-40146	200	-58070	664
-41726	148	-50021	755
-42791	100	-41299	818
-43397	57	-32437	831
-43620	21	-24169	775
-43543	7	-17251	649
-43238	29	-12249	469
-42754	45	-9374	270
-42115	60	-8455	86
-41322	74	-9040	55
-40361	90	-10570	143
-39202	109	-12539	185
-37808	131	-14578	191
-36139	156	-16447	175
-34159	186	-17972	143
-31854	216	-18987	95
-29244	245	-19337	33
-26391	267	-18932	38
-23387	282	-17812	105
-20335	286	-16183	153
-17318	283	-14358	171
-14382	275	-12652	160
-11525	268	-11251	131
-8720	263	-10154	103
-5939	261	-9197	90
-3186	258	-8183	95
-501	252	-7013	110
2049	239	-5778	116
4405	221	-4733	98
6549	201	-4172	53
8518	185	-4274	10
10381	175	-5011	69
12195	170	-6178	109
13936	163	-7552	129
15460	143	-9097	145
16500	98	-11095	187
16719	21	-14125	284
15794	87	-18863	444
13519	213	-25770	648
9875	342	-34811	848
5048	453	-45337	987
-612	531	-56192	1018
-6675	568	-66019	921
-12724	567	-73638	714
-18433	535	-78345	441
-23600	484	-80018	157
-28137	425	-79005	95
-32036	366	-75872	294
-35321	308	-71145	443
-38018	253	-65157	561
-40146	200	-58070	664
-41726	148	-50021	755
-42791	100	-41299	818
-43397	57	-32437	831
-43620	21	-24169	775
-43543	7	-17251	649
-43238	29	-12249	469
-42754	45	-9374	270
-42115	60	-8455	86
-41322	74	-9040	55
-40361	90	-10570	143
-39202	109	-12539	185
-37808	131	-14578	191
-36139	156	-16447	175
-34159	186	-17972	143
-31854	216	-18987	95
-29244	245	-19337	33
-26391	267	-18932	38
-23387	282	-17812	105
-20335	286	-16183	153
-17318	283	-14358	171
-14382	275	-12652	160
-11525	268	-11251	131
-8720	263	-10154	103
-5939	261	-9197	90
-3186	258	-8183	95
-501	252	-7013	110
2049	239	-5778	116
4405	221	-4733	98
6549	201	-4172	53
8518	185	-4274	10
10381	175	-5011	69
12195	170	-6178	109
13936	163	-7552	129
15460	143	-9097	145
16500	98	-11095	187
16719	21	-14125	284
15794	87	-18863	444
13519	213	-25770	648
9875	342	-34811	848
5048	453	-45337	987
-612	531	-56192	1018
-6675	568	-66019	921
-12724	567	-73638	714
-18433	535	-78345	441
-23600	484	-80018	157
-28137	425	-79005	95
-32036	366	-75872	294
-35321	308	-71145	443
-38018	253	-65157	561
-40146	200	-58070	664
-41726	148	-50021	755
-42791	100	-41299	818
-43397	57	-32437	831
-43620	21	-24169	775
-43543	7	-17251	649
-43238	29	-12249	469
-42754	45	-9374	270
-42115	60	-8455	86
-41322	74	-9040	55
-40361	90	-10570	143
-39202	109	-12539	185
-37808	131	-14578	191
-36139	156	-16447	175
-34159	186	-17972	143
-31854	216	-18987	95
-29244	245	-19337	33
-26391	267	-18932	38
-23387	282	-17812	105
-20335	286	-16183	153
-17318	283	-14358	171
-14382	275	-12652	160
-11525	268	-11251	131
-8720	263	-10154	103
-5939	261	-9197	90
-3186	258	-8183	95
-501	252	-7013	110
2049	239	-5778	116
4405	221	-4733	98
6549	201	-4172	53

