0	0	0	0	0	0	0	0
-2576	121	1516	71	-7513	352	1600	77
-5152	121	3032	71	-15026	352	3200	77
-7728	121	4548	71	-22539	352	4800	77
-10304	121	6064	71	-30052	352	6400	77
-12880	121	7580	71	-37565	352	8000	77
-15460	125	9097	159	-41322	82	9040	108
-16719	29	14125	354	-39202	119	12539	192
-13519	279	25770	753	-36139	171	16447	162
-5048	498	45337	1023	-31854	231	18987	66
6675	574	66019	833	-26391	276	18932	73
18433	512	78345	297	-20335	286	16183	167
28137	395	79005	204	-14382	271	12652	147
35321	280	71145	506	-8720	262	10154	93
40146	173	58070	712	-3186	256	8183	102
42791	77	41299	835	2049	231	5778	112
43620	6	24169	723	6549	192	4172	23
43238	38	12249	369	10381	172	5011	93
42115	67	8455	7	13936	156	7552	135
40361	99	10570	171	16500	64	11095	225
37808	143	14578	186	15794	148	18863	542
34159	201	17972	122	9875	401	34811	932
29244	257	19337	2	-612	556	56192	990
23387	285	17812	133	-12724	555	73638	584
17318	279	14358	170	-23600	455	80018	23
11525	265	11251	116	-32036	336	75872	375
5939	260	9197	90	-38018	226	65157	615
501	246	7013	116	-41726	123	50021	793
-4405	211	4733	79	-43397	38	32437	815
-8518	178	4274	41	-43543	19	17251	565
-12195	168	6178	122	-42754	53	9374	172
-12880	121	7580	71	-37565	352	8000	77
-15460	125	9097	159	-41322	82	9040	108
-16719	29	14125	354	-39202	119	12539	192
-13519	279	25770	753	-36139	171	16447	162
-5048	498	45337	1023	-31854	231	18987	66
6675	574	66019	833	-26391	276	18932	73
18433	512	78345	297	-20335	286	16183	167
28137	395	79005	204	-14382	271	12652	147
35321	280	71145	506	-8720	262	10154	93
40146	173	58070	712	-3186	256	8183	102
42791	77	41299	835	2049	231	5778	112
43620	6	24169	723	6549	192	4172	23
43238	38	12249	369	10381	172	5011	93
42115	67	8455	7	13936	156	7552	135
40361	99	10570	171	16500	64	11095	225
37808	143	14578	186	15794	148	18863	542
34159	201	17972	122	9875	401	34811	932
29244	257	19337	2	-612	556	56192	990
23387	285	17812	133	-12724	555	73638	584
17318	279	14358	170	-23600	455	80018	23
11525	265	11251	116	-32036	336	75872	375
5939	260	9197	90	-38018	226	65157	615
501	246	7013	116	-41726	123	50021	793
-4405	211	4733	79	-43397	38	32437	815
-8518	178	4274	41	-43543	19	17251	565
-12195	168	6178	122	-42754	53	9374	172
-12880	121	7580	71	-37565	352	8000	77
-15460	125	9097	159	-41322	82	9040	108
-16719	29	14125	354	-39202	119	12539	192
-13519	279	25770	753	-36139	171	16447	162
-5048	498	45337	1023	-31854	231	18987	66
6675	574	66019	833	-26391	276	18932	73
18433	512	78345	297	-20335	286	16183	167
28137	395	79005	204	-14382	271	12652	147
35321	280	71145	506	-8720	262	10154	93
40146	173	58070	712	-3186	256	8183	102
42791	77	41299	835	2049	231	5778	112
43620	6	24169	723	6549	192	4172	23
43238	38	12249	369	10381	172	5011	93
42115	67	8455	7	13936	156	7552	135
40361	99	10570	171	16500	64	11095	225
37808	143	14578	186	15794	148	18863	542
34159	201	17972	122	9875	401	34811	932
29244	257	19337	2	-612	556	56192	990
23387	285	17812	133	-12724	555	73638	584
17318	279	14358	170	-23600	455	80018	23
11525	265	11251	116	-32036	336	75872	375
5939	260	9197	90	-38018	226	65157	615
501	246	7013	116	-41726	123	50021	793
-4405	211	4733	79	-43397	38	32437	815
-8518	178	4274	41	-43543	19	17251	565
-12195	168	6178	122	-42754	53	9374	172
-12880	121	7580	71	-37565	352	8000	77
-15460	125	9097	159	-41322	82	9040	108
-16719	29	14125	354	-39202	119	12539	192
-13519	279	25770	753	-36139	171	16447	162
-5048	498	45337	1023	-31854	231	18987	66
6675	574	66019	833	-26391	276	18932	73
18433	512	78345	297	-20335	286	16183	167
28137	395	79005	204	-14382	271	12652	147
35321	280	71145	506	-8720	262	10154	93
40146	173	58070	712	-3186	256	8183	102
42791	77	41299	835	2049	231	5778	112
43620	6	24169	723	6549	192	4172	23
43238	38	12249	369	10381	172	5011	93
42115	67	8455	7	13936	156	7552	135
40361	99	10570	171	16500	64	11095	225
37808	143	14578	186	15794	148	18863	542
34159	201	17972	122	9875	401	34811	932
29244	257	19337	2	-612	556	56192	990
23387	285	17812	133	-12724	555	73638	584
17318	279	14358	170	-23600	455	80018	23
11525	265	11251	116	-32036	336	75872	375
5939	260	9197	90	-38018	226	65157	615
501	246	7013	116	-41726	123	50021	793
-4405	211	4733	79	-43397	38	32437	815
-8518	178	4274	41	-43543	19	17251	565
-12195	168	6178	122	-42754	53	9374	172
-12880	121	7580	71	-37565	352	8000	77
-15460	125	9097	159	-41322	82	9040	108
-16719	29	14125	354	-39202	119	12539	192
-13519	279	25770	753	-36139	171	16447	162
-5048	498	45337	1023	-31854	231	18987	66
6675	574	66019	833	-26391	276	18932	73
18433	512	78345	297	-20335	286	16183	167
28137	395	79005	204	-14382	271	12652	147
35321	280	71145	506	-8720	262	10154	93
40146	173	58070	712	-3186	256	8183	102
42791	77	41299	835	2049	231	5778	112
43620	6	24169	723	6549	192	4172	23
43238	38	12249	369	10381	172	5011	93
42115	67	8455	7	13936	156	7552	135
40361	99	10570	171	16500	64	11095	225
37808	143	14578	186	15794	148	18863	542
34159	201	17972	122	9875	401	34811	932
29244	257	19337	2	-612	556	56192	990
23387	285	17812	133	-12724	555	73638	584
17318	279	14358	170	-23600	455	80018	23
11525	265	11251	116	-32036	336	75872	375
5939	260	9197	90	-38018	226	65157	615
501	246	7013	116	-41726	123	50021	793
-4405	211	4733	79	-43397	38	32437	815
-8518	178	4274	41	-43543	19	17251	565
-12195	168	6178	122	-42754	53	9374	172
-11395	37.5	5778	19	-40000	134	8750	29
-10595	37.5	5378	19	-37150	134	8126	29
-9795	37.5	4978	19	-34300	134	7502	29
-8995	37.5	4578	19	-31450	134	6878	29
-8195	37.5	4178	19	-28600	134	6254	29
-7395	37.5	3778	19	-25750	134	5630	29
-6595	37.5	3378	19	-22900	134	5006	29
-5795	37.5	2978	19	-20050	134	4382	29
-4995	37.5	2578	19	-17200	134	3758	29
-4195	37.5	2178	19	-14350	134	3134	29
-3395	37.5	1778	19	-11500	134	2510	29
-2595	37.5	1378	19	-8650	134	1886	29
-1795	37.5	978	19	-5800	134	1262	29
-995	20	578	15	-2950	100	638	10
0	0	0	0	0	0	0	0
